player,team,stat_type,prizepicks_line,over_odds_ud,under_odds_ud,dk_odds_over,dk_odds_under,max_edge,suggestion,Actual_HRR,Result
lawrence butler,ATH,Hits+Runs+RBIs,1.5,-125.0,-109.0,−140,+105,0.006,OVER,3.0,HIT
randal grichuk,AZ,Hits+Runs+RBIs,1.5,-106.0,-129.0,+100,−135,0.005,UNDER,2.0,MISS
myles straw,TOR,Hits+Runs+RBIs,1.5,-104.0,-132.0,−105,−130,0.002,UNDER,1.0,HIT
corbin carroll,AZ,Hits+Runs+RBIs,1.5,-130.0,-105.0,−130,−105,0.001,OVER,2.0,HIT
nick castellanos,PHI,Hits+Runs+RBIs,1.5,-108.0,-125.0,−105,−130,-0.003,UNDER,2.0,MISS
geraldo perdomo,AZ,Hits+Runs+RBIs,1.5,-110.0,-122.0,−105,−130,-0.006,UNDER,0.0,HIT
corey seager,TEX,Hits+Runs+RBIs,1.5,-109.0,-125.0,−110,−125,-0.009,UNDER,1.0,HIT
taylor ward,LAA,Hits+Runs+RBIs,1.5,-110.0,-122.0,−110,−125,-0.01,UNDER,3.0,MISS
luis arraez,SD,Hits+Runs+RBIs,1.5,-118.0,-114.0,−105,−130,-0.013,UNDER,,
addison barger,TOR,Hits+Runs+RBIs,1.5,-115.0,-115.0,−105,−125,-0.014,UNDER,0.0,HIT
nick kurtz,ATH,Hits+Runs+RBIs,1.5,-115.0,-115.0,−125,−110,-0.016,OVER,2.0,HIT
miguel andujar,ATH,Hits+Runs+RBIs,1.5,-107.0,-127.0,−120,−115,-0.016,UNDER,2.0,MISS
kyle schwarber,PHI,Hits+Runs+RBIs,1.5,-109.0,-125.0,−115,−115,-0.016,UNDER,0.0,HIT
bryce harper,PHI,Hits+Runs+RBIs,1.5,-110.0,-124.0,−115,−115,-0.017,UNDER,1.0,HIT
taylor trammell,HOU,Hits+Runs+RBIs,0.5,-106.0,-129.0,−120,−110,-0.018,UNDER,1.0,MISS
tyler soderstrom,ATH,Hits+Runs+RBIs,1.5,-114.0,-118.0,−125,−110,-0.018,OVER,0.0,MISS
eugenio suarez,AZ,Hits+Runs+RBIs,1.5,-112.0,-122.0,−115,−115,-0.019,UNDER,,
jo adell,LAA,Hits+Runs+RBIs,1.5,-122.0,-112.0,−110,−125,-0.021,UNDER,3.0,MISS
nolan schanuel,LAA,Hits+Runs+RBIs,1.5,-120.0,-114.0,−115,−115,-0.021,OVER,5.0,HIT
josh naylor,AZ,Hits+Runs+RBIs,1.5,-113.0,-121.0,−120,−115,-0.022,UNDER,1.0,HIT
alec bohm,PHI,Hits+Runs+RBIs,1.5,-115.0,-118.0,−115,−115,-0.022,UNDER,1.0,HIT
SUMMARY: 12/19 - 63.2%,,,,,,,,,,,"HITS: 12, MISSES: 7, PUSHES: 0"
