player,team,stat_type,prizepicks_line,over_odds_ud,under_odds_ud,dk_odds_over,dk_odds_under,max_edge,suggestion
ronald acuna,ATL,Hits+Runs+RBIs,1.5,-136,+100,,,0.012,OVER
romy gonzalez,BOS,Hits+Runs+RBIs,1.5,-107,-127,+105,−145,0.01,UNDER
lawrence butler,ATH,Hits+Runs+RBIs,1.5,-139,+103,−130,−105,0.009,OVER
brice turang,MIL,Hits+Runs+RBIs,1.5,-136,+100,−125,−105,0.004,OVER
willi castro,MIN,Hits+Runs+RBIs,1.5,-134,-102,−130,−105,0.004,OVER
royce lewis,MIN,Hits+Runs+RBIs,1.5,-134,-103,−130,−105,0.004,OVER
carlos correa,MIN,Hits+Runs+RBIs,1.5,-134,-103,−130,−105,0.004,OVER
trevor story,BOS,Hits+Runs+RBIs,1.5,-132,-103,−130,−105,0.003,OVER
bo bichette,TOR,Hits+Runs+RBIs,2.5,-107,-127,+100,−135,0.003,UNDER
vinnie pasquantino,KC,Hits+Runs+RBIs,1.5,-125,-108,−135,+100,0.002,OVER
cal raleigh,SEA,Hits+Runs+RBIs,1.5,-125,-108,−135,+100,0.002,OVER
luis robert,CWS,Hits+Runs+RBIs,1.5,-103,-132,−105,−125,0.001,UNDER
trea turner,PHI,Hits+Runs+RBIs,1.5,-141,+104,−120,−115,0.001,OVER
jackson merrill,SD,Hits+Runs+RBIs,1.5,,,−105,−130,0.001,UNDER
andrew mccutchen,PIT,Hits+Runs+RBIs,1.5,-134,-102,−125,−110,-0.001,OVER
trevor larnach,MIN,Hits+Runs+RBIs,1.5,-127,-108,−130,−105,-0.002,OVER
zach neto,LAA,Hits+Runs+RBIs,1.5,-132,-103,−125,−110,-0.002,OVER
jonathan india,KC,Hits+Runs+RBIs,1.5,-121,-112,−135,+100,-0.002,OVER
luis arraez,SD,Hits+Runs+RBIs,1.5,-134,-102,−120,−110,-0.003,OVER
kyle stowers,MIA,Hits+Runs+RBIs,1.5,-121,-113,−135,+100,-0.003,OVER
kyle schwarber,PHI,Hits+Runs+RBIs,1.5,-109,-125,−105,−130,-0.004,UNDER
corey seager,TEX,Hits+Runs+RBIs,1.5,-109,-124,−105,−130,-0.004,UNDER
tyler soderstrom,ATH,Hits+Runs+RBIs,1.5,-114,-120,−140,+105,-0.004,OVER
andy pages,LAD,Hits+Runs+RBIs,1.5,-109,-124,−105,−130,-0.004,UNDER
ryan o'hearn,BAL,Hits+Runs+RBIs,1.5,-105,-130,−110,−125,-0.004,UNDER
