player,team,stat_type,prizepicks_line,dk_label,dk_odds,line_ud,over_odds_ud,under_odds_ud
kyle tucker,CHC,Hits+Runs+RBIs,1.5,2+,−135,1.5,-125,-108
ryan o'hearn,BAL,Hits+Runs+RBIs,1.5,2+,−125,1.5,-127,-107
jackson holliday,BAL,Hits+Runs+RBIs,1.5,2+,−130,1.5,-136,+100
kyle stowers,MIA,Hits+Runs+RBIs,1.5,2+,−110,1.5,-107,-127
connor norby,MIA,Hits+Runs+RBIs,1.5,2+,−110,1.5,-102,-134
riley greene,DET,Hits+Runs+RBIs,1.5,2+,−140,1.5,-125,-108
gleyber torres,DET,Hits+Runs+RBIs,1.5,2+,−140,1.5,-139,+102
trevor story,BOS,Hits+Runs+RBIs,1.5,2+,−110,1.5,-103,-134
wilyer abreu,BOS,Hits+Runs+RBIs,1.5,2+,−125,1.5,-120,-114
ceddanne rafaela,BOS,Hits+Runs+RBIs,1.5,2+,−110,1.5,-120,-114
carlos narvaez,BOS,Hits+Runs+RBIs,1.5,2+,+100,1.5,-103,-134
tyler stephenson,CIN,Hits+Runs+RBIs,1.5,2+,−130,1.5,-125,-108
spencer steer,CIN,Hits+Runs+RBIs,1.5,2+,−125,1.5,-129,-106
hunter goodman,COL,Hits+Runs+RBIs,1.5,2+,−110,1.5,-120,-113
noelvi marte,CIN,Hits+Runs+RBIs,1.5,2+,−120,1.5,-120,-114
mickey moniak,COL,Hits+Runs+RBIs,1.5,2+,−105,1.5,-104,-132
bryan reynolds,PIT,Hits+Runs+RBIs,1.5,2+,+100,1.5,-109,-124
henry davis,PIT,Hits+Runs+RBIs,0.5,1+,−135,0.5,-127,-107
andrew benintendi,CWS,Hits+Runs+RBIs,1.5,2+,,1.5,-106,-129
kyle manzardo,CLE,Hits+Runs+RBIs,1.5,2+,,1.5,-113,-120
miguel vargas,CWS,Hits+Runs+RBIs,1.5,2+,,1.5,-106,-129
carlos santana,CLE,Hits+Runs+RBIs,1.5,2+,,1.5,-104,-132
chase meidroth,CWS,Hits+Runs+RBIs,1.5,2+,,1.5,-107,-127
mike tauchman,CWS,Hits+Runs+RBIs,1.5,2+,,1.5,-109,-124
corey seager,TEX,Hits+Runs+RBIs,1.5,2+,−140,1.5,-121,-113
marcus semien,TEX,Hits+Runs+RBIs,1.5,2+,−115,1.5,-115,-118
adolis garcia,TEX,Hits+Runs+RBIs,1.5,2+,−115,1.5,-107,-127
yainer diaz,HOU,Hits+Runs+RBIs,1.5,2+,−120,1.5,-121,-112
victor caratini,HOU,Hits+Runs+RBIs,1.5,2+,−105,1.5,-102,-136
christian walker,HOU,Hits+Runs+RBIs,1.5,2+,−125,1.5,-127,-108
isaac paredes,HOU,Hits+Runs+RBIs,1.5,2+,−115,1.5,-114,-118
salvador perez,KC,Hits+Runs+RBIs,1.5,2+,−120,1.5,-120,-113
mark vientos,NYM,Hits+Runs+RBIs,1.5,2+,−125,1.5,-125,-108
ronny mauricio,NYM,Hits+Runs+RBIs,1.5,2+,−120,1.5,-110,-124
jonathan india,KC,Hits+Runs+RBIs,1.5,2+,−120,1.5,-121,-113
cj abrams,WSH,Hits+Runs+RBIs,1.5,2+,−105,1.5,-103,-132
isaac collins,MIL,Hits+Runs+RBIs,1.5,2+,−130,1.5,-115,-118
caleb durbin,MIL,Hits+Runs+RBIs,1.5,2+,−125,1.5,-114,-120
nolan arenado,STL,Hits+Runs+RBIs,1.5,2+,−115,1.5,+102,-137
matt olson,ATL,Hits+Runs+RBIs,1.5,2+,−120,1.5,-118,-115
lars nootbaar,STL,Hits+Runs+RBIs,1.5,2+,−105,1.5,-106,-129
ozzie albies,ATL,Hits+Runs+RBIs,1.5,2+,−105,1.5,-113,-120
willson contreras,STL,Hits+Runs+RBIs,1.5,2+,−115,1.5,-121,-113
masyn winn,STL,Hits+Runs+RBIs,1.5,2+,−115,1.5,-125,-109
jurickson profar,ATL,Hits+Runs+RBIs,1.5,2+,−115,1.5,-121,-113
taylor ward,LAA,Hits+Runs+RBIs,1.5,2+,−115,1.5,-105,-130
jo adell,LAA,Hits+Runs+RBIs,1.5,2+,−125,1.5,-125,-108
nolan schanuel,LAA,Hits+Runs+RBIs,1.5,2+,−115,1.5,-110,-124
ketel marte,AZ,Hits+Runs+RBIs,2.5,3+,+105,2.5,-103,-134
eugenio suarez,AZ,Hits+Runs+RBIs,1.5,2+,−120,1.5,-129,-105
geraldo perdomo,AZ,Hits+Runs+RBIs,1.5,2+,−120,1.5,-117,-115
randal grichuk,AZ,Hits+Runs+RBIs,1.5,2+,−115,1.5,-118,-114
josh naylor,AZ,Hits+Runs+RBIs,1.5,2+,−130,1.5,-121,-113
kyle schwarber,PHI,Hits+Runs+RBIs,1.5,2+,−120,1.5,-129,-106
nick castellanos,PHI,Hits+Runs+RBIs,1.5,2+,−125,1.5,-125,-108
manny machado,SD,Hits+Runs+RBIs,1.5,2+,−130,1.5,-125,-109
j.t. realmuto,PHI,Hits+Runs+RBIs,1.5,2+,−110,1.5,-109,-124
alec bohm,PHI,Hits+Runs+RBIs,1.5,2+,−120,1.5,-134,-102
fernando tatis,SD,Hits+Runs+RBIs,1.5,2+,−125,1.5,-120,-113
luis arraez,SD,Hits+Runs+RBIs,1.5,2+,−130,1.5,-125,-109
will wagner,TOR,Hits+Runs+RBIs,1.5,2+,−130,1.5,-114,-120
tyler soderstrom,ATH,Hits+Runs+RBIs,1.5,2+,−120,1.5,-134,-102
miguel andujar,ATH,Hits+Runs+RBIs,1.5,2+,−120,1.5,-107,-127
freddie freeman,LAD,Hits+Runs+RBIs,1.5,2+,−125,1.5,-134,-102
will smith,LAD,Hits+Runs+RBIs,1.5,2+,−105,1.5,-102,-134
teoscar hernandez,LAD,Hits+Runs+RBIs,1.5,2+,+100,1.5,-104,-132
matt chapman,SF,Hits+Runs+RBIs,1.5,2+,−110,1.5,-122,-110
willy adames,SF,Hits+Runs+RBIs,1.5,2+,−105,1.5,-120,-113
rafael devers,SF,Hits+Runs+RBIs,1.5,2+,−115,1.5,-118,-114
